Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Start Training
Epoch   Loss           Accuracy  S_Conv1   S_Conv2   S_Class   Time
0377    000008.3177    0.2500    0.2192    0.5500    0.9667    24.2461
0378    000008.3177    0.2500    0.2191    0.5512    0.9667    24.0685
0379    000008.3177    0.2500    0.2209    0.5499    0.9667    24.0341
0380    000008.3144    0.2500    0.2197    0.5517    0.9667    23.8131
0381    000008.3138    0.2500    0.2207    0.5505    0.9667    24.3188
0382    000008.4249    0.2475    0.2185    0.5559    0.9667    24.1967
0383    000008.3177    0.2500    0.2191    0.5556    0.9667    24.3675
0384    000008.3177    0.2500    0.2194    0.5570    0.9667    24.5374
0385    000008.3177    0.2500    0.2211    0.5550    0.9667    24.0477
0386    000008.3138    0.2500    0.2205    0.5550    0.9667    24.0334
0387    000008.3177    0.2500    0.2209    0.5546    0.9667    24.2921
0388    000008.3138    0.2500    0.2202    0.5546    0.9667    23.9480
0389    000008.3154    0.2500    0.2213    0.5545    0.9667    24.2852
0390    000008.3138    0.2500    0.2210    0.5553    0.9667    24.0171
